id,name,email,city,region,country
1,Ahmed Hassan,ahmed@email.com,Algiers,Algiers,Algeria
2,Fatima Benali,fatima@email.com,Oran,Oran,Algeria
3,Mohammed Kara,mohammed@email.com,Constantine,Constantine,Algeria
4,Leila Bouhali,leila@email.com,Blida,Blida,Algeria
5,Hassan Osman,hassan@email.com,Bouira,Bouira,Algeria
6,Amina Zouaoui,amina@email.com,Tizi Ouzou,Tizi Ouzou,Algeria
7,Karim Bouzidi,karim@email.com,Béjaïa,Béjaïa,Algeria
8,Noor Al-Rashid,noor@email.com,Skikda,Skikda,Algeria
9,Sara Medina,sara@email.com,Annaba,Annaba,Algeria
10,Ibrahim Mansour,ibrahim@email.com,Sétif,Sétif,Algeria
11,Zainab Khalil,zainab@email.com,Jijel,Jijel,Algeria
12,Omar Hakim,omar@email.com,Batna,Batna,Algeria
13,Hana Samir,hana@email.com,Khenchela,Khenchela,Algeria
14,Rashid Aziz,rashid@email.com,Chlef,Chlef,Algeria
15,Lina Hamid,lina@email.com,Médéa,Médéa,Algeria
16,Amir Khalaf,amir@email.com,Ouargla,Ouargla,Algeria
17,Dina Malik,dina@email.com,Ghardaia,Ghardaia,Algeria
18,Majid Noor,majid@email.com,Laghouat,Laghouat,Algeria
19,Layla Hassan,layla@email.com,Tamanrasset,Tamanrasset,Algeria
20,Salem Ahmed,salem@email.com,Illizi,Illizi,Algeria
